Vessel,ware,collection
1_CA230334 ,Capulí,Museo del Oro
2_CA230348 ,Capulí,Museo del Oro
3_CA230365 ,Capulí,El Porvenir - Site 137
4_CA230366 ,Capulí,El Porvenir - Site 137
5_CA230375 ,Capulí,El Porvenir - Site 137
6_CA230377 ,Capulí,El Porvenir - Site 137
7_CA230378 ,Capulí,El Porvenir - Site 137
8_CA230381 ,Capulí,El Porvenir - Site 137
9_CA230386 ,Capulí,El Porvenir - Site 137
10_CA230387 ,Capulí,El Porvenir - Site 137
11_CA230361 ,Piartal - 1,Catambuco - Site 8
12_CA230416 ,Piartal - 1,Obonuco
13_CA230417 ,Piartal - 1,Obonuco
14_CA230422 ,Piartal - 1,Obonuco
15_CA230423 ,Piartal - 1,Obonuco
16_CA230424 ,Piartal - 1,Obonuco
17_CA230717 ,Piartal - 1,Museo del Oro
18_CA230347 ,Piartal - 2,Museo del Oro
19_CA230404 ,Piartal - 2,Bomboná
20_CA230337,Piartal - 2,Museo del Oro
21_CA230335 ,Tuza,Museo del Oro
22_CA230354 ,Tuza,Museo del Oro
23_CA230401 ,Tuza,Bomboná
24_CA230411 ,Tuza,Bomboná
25_CA230428 ,Tuza,Catambuco - San Damián
26_CA230429 ,Tuza,Catambuco - San Damián
27_CA230715 ,Tuza,Museo del Oro
28_CA230718 ,Tuza,Museo del Oro
29_CA230724 ,Tuza,Museo del Oro
30_CA230430 ,Tuza - Red slip,Catambuco - San Damián
