Vessel,ware,subware,collection,Group_distance_to_centroid,Vessel_height_mm,circ,AR,Round,Solidity,mean_horizontal_wall_thickness,SD_horizontal_wall_thickness,CV_horizontal_wall_thickness,range_horizontal_wall_thickness
CA230334,Capulí,Capulí,Museo del Oro,0.08898,129.1,0.897,1.003,0.997,0.999,9.775,0.552,5.65,2.543
CA230335,Tuza,Tuza,Museo del Oro,0.01247,101.4,0.901,1.011,0.989,0.999,6.117,0.395,6.46,1.948
CA230337,Piartal - 2,Piartal - 2,Museo del Oro,0.01563,96.8,0.894,1.04,0.961,0.999,5.884,0.604,10.27,2.82
CA230347,Piartal - 2,Piartal - 2,Museo del Oro,0.02321,91.6,0.896,1.008,0.992,0.999,8.697,0.533,6.13,2.705
CA230348,Capulí,Capulí,Museo del Oro,0.03919,72.8,0.897,1.009,0.992,0.999,9.602,0.321,3.34,1.712
CA230354,Tuza,Tuza,Museo del Oro,0.02737,95.9,0.9,1.031,0.97,0.999,6.393,0.566,8.85,2.284
CA230361,Piartal - 1,Piartal - 1,Catambuco - Site 8,0.02793,82.2,0.897,1.018,0.982,0.999,9.243,0.42,4.54,1.941
CA230365,Capulí,Capulí,El Porvenir - Site 137,0.11413,119.2,0.899,1.01,0.991,0.999,8.848,0.976,11.03,3.804
CA230366,Capulí,Capulí,El Porvenir - Site 137,0.04164,106.9,0.897,1.015,0.986,0.998,10.968,0.433,3.95,2.036
CA230375,Capulí,Capulí,El Porvenir - Site 137,0.0422,86.6,0.899,1.013,0.987,0.998,9.241,0.633,6.85,2.958
CA230377,Capulí,Capulí,El Porvenir - Site 137,0.04605,116.2,0.898,1.015,0.985,0.999,9.207,0.401,4.36,1.887
CA230378,Capulí,Capulí,El Porvenir - Site 137,0.05063,128.8,0.895,1.015,0.985,0.999,8.168,0.407,4.98,2.048
CA230381,Capulí,Capulí,El Porvenir - Site 137,0.01993,125.6,0.899,1.002,0.998,0.999,10.426,0.301,2.89,1.541
CA230386,Capulí,Capulí,El Porvenir - Site 137,0.05602,117.2,0.898,1.003,0.997,0.999,8.789,0.452,5.14,2.795
CA230387,Capulí,Capulí,El Porvenir - Site 137,0.03736,94.7,0.893,1.076,0.929,0.998,10.341,1.499,14.5,6.082
CA230401,Tuza,Tuza,Bomboná,0.01891,108.5,0.899,1.03,0.971,0.999,6.412,0.334,5.21,1.78
CA230404,Piartal - 2,Piartal - 2,Bomboná,0.02635,80.5,0.898,1.028,0.973,0.999,7.7,0.584,7.58,2.288
CA230411,Tuza,Tuza,Bomboná,0.02662,95.9,0.902,1.029,0.971,0.999,6.407,0.274,4.28,1.523
CA230416,Piartal - 1,Piartal - 1,Obonuco,0.03965,75.8,0.901,1.024,0.976,0.998,6.146,0.666,10.84,3.136
CA230417,Piartal - 1,Piartal - 1,Obonuco,0.02599,75.7,0.897,1.023,0.978,0.999,8.459,0.639,7.55,2.704
CA230422,Piartal - 1,Piartal - 1,Obonuco,0.01268,87.4,0.896,1.022,0.978,0.998,8.622,1.07,12.41,3.909
CA230423,Piartal - 1,Piartal - 1,Obonuco,0.01666,71.5,0.898,1.033,0.968,0.998,7.388,0.489,6.62,2.126
CA230424,Piartal - 1,Piartal - 1,Obonuco,0.03677,69.7,0.895,1.013,0.987,0.998,7.336,0.566,7.72,2.968
CA230428,Tuza,Tuza,Catambuco - San Damián,0.01324,91,0.899,1.016,0.984,0.999,6.911,0.624,9.03,2.454
CA230429,Tuza,Tuza,Catambuco - San Damián,0.01808,94,0.898,1.012,0.988,0.999,7.541,0.762,10.1,3.569
CA230430,Tuza - Red slip,Tuza - Red slip,Catambuco - San Damián,0.01705,68.6,0.896,1.011,0.989,0.998,7.123,1,14.04,4.232
CA230715,Tuza,Tuza,Museo del Oro,0.02403,98.9,0.898,1.009,0.992,0.999,7.124,0.718,10.08,2.628
CA230717,Piartal - 1,Piartal - 1,Museo del Oro,0.01795,56,0.899,1.046,0.956,0.998,7.649,0.544,7.11,2.63
CA230718,Tuza,Tuza,Museo del Oro,0.02668,95.7,0.896,1.01,0.99,0.999,6.513,0.387,5.94,2.372
CA230724,Tuza,Tuza,Museo del Oro,0.03626,102.9,0.897,1.041,0.961,0.999,6.404,0.571,8.92,2.79
