CA Number,ID,Collection,Site,Ware,3D model
CA230334,C12941,Museo del Oro,Colombia ,Capulí,https://sketchfab.com/3d-models/ca230334-c12941-27fe9c2ff5e6452088d9f55ab33ecaca
CA230335,C14003,Museo del Oro,Colombia - ,Tuza,https://sketchfab.com/3d-models/ca230335-c14003-1e5ca80003b442aab3cabe8b627b9d27
CA230337,C05519,Museo del Oro,Nariño (Colombia) ,Piartal - 2,https://sketchfab.com/3d-models/ca230337-c05519-4175eb707f724c38bba8619b11adb056
CA230347,C13752,Museo del Oro,Nariño (Colombia) ,Piartal - 2,https://sketchfab.com/3d-models/ca230347-c13752-f7cf007face94be08a63c0b6e716fedc
CA230348,C04870,Museo del Oro,Colombia,Capulí,https://sketchfab.com/3d-models/ca230348-c04870-49db99f7140c4b26b385d83f12aa4aa3
CA230354,C05511,Museo del Oro,Nariño (Colombia) ,Tuza,https://sketchfab.com/3d-models/ca230354-c05511-3b271cff29604a0e9bdc7d4a29a15075
CA230361,35,Union del Sur,Site 8 - Catambuco,Piartal - 1,https://sketchfab.com/3d-models/ca230361-35-37dbe27d1604452bbe67c983887848ba
CA230365,266,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230365-266-197369790e6a41d78260a1772ff7d383
CA230366,262,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230366-262-19ce31d0580b4778acd104f6ff468c7f
CA230375,350,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí - no paint,https://sketchfab.com/3d-models/ca230375-350-7a2309a21a934489a313c94ecbee39da
CA230377,401,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230377-401-7aed02f310914f96a81ec4273d1755f1
CA230378,396,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230378-396-b6683e7330194ce3b067b41c4ca50751
CA230381,455,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230381-455-9e2b17cf12b042c58db41e8d872b9fbd
CA230386,368,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230386-368-d7b0c708b23847d0891b4789b4b2ce26
CA230387,420,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230387-420-b59bee8818b848c29150d5815a70b195
CA230401,BOM197,Bomboná,Bomboná -Los Eucaliptos,Tuza,https://sketchfab.com/3d-models/ca230401-bom197-dbb9aed89e134dfd9ba9e31f250061be
CA230404,BOM181,Bomboná,Bomboná-Aguacate,Piartal - 2,https://sketchfab.com/3d-models/ca230404-bom181-8b52aa82b4bb4a33be893895539dd80e
CA230411,BOM182,Bomboná,Bomboná-Aguacate,Tuza,https://sketchfab.com/3d-models/ca230411-bom182-454769fa71614213a36243ac0c59c870
CA230416,OBO007,Obonuco,Obonuco,Piartal - 1,https://sketchfab.com/3d-models/ca230416-obo007-a65e653c57a740ca834f1dff8297ee18
CA230417,OBO011,Obonuco,Obonuco,Piartal - 1,https://sketchfab.com/3d-models/ca230417-obo011-4aed8cbcefc449a1b09aee39a280da05
CA230422,OBO015,Obonuco,Obonuco,Piartal - 1,https://sketchfab.com/3d-models/ca230422-obo015-3c4b65131d7f4749ad30aa12547ac341
CA230423,OBO030,Obonuco,Obonuco,Piartal - 1,https://sketchfab.com/3d-models/ca230423-obo030-2bdbab4138eb48e4a3f273f70a79c50c
CA230424,OBO039,Obonuco,Obonuco,Piartal - 1,https://sketchfab.com/3d-models/ca230424-obo039-e2d6b8e1f4844bca90533fff3e13753d
CA230428,SAN075,San Damián,San Damián,Tuza,https://sketchfab.com/3d-models/ca230428-san075-1ac29656de69486c9bd2427ab9f2e171
CA230429,SAN077,San Damián,San Damián,Tuza,https://sketchfab.com/3d-models/ca230429-san077-6999d618c49a4443b589d60e76505512
CA230430,SAN078,San Damián,San Damián,Tuza - Red slip,https://sketchfab.com/3d-models/ca230430-san078-82c4f77f73964296930f3a90ad6bb194
CA230715,C03990,Museo del Oro,"Pupiales (Colombia, Nariño) ",Tuza,https://sketchfab.com/3d-models/ca230715-c03990-cda060038f654c89917532ecde43a6ae
CA230717,C03993,Museo del Oro,"Pupiales (Colombia, Nariño) ",Piartal - 1,https://sketchfab.com/3d-models/ca230717-c03993-740e15d802284975a4a80de9c8a4af51
CA230718,C04118,Museo del Oro,"Pupiales (Colombia, Nariño) ",Tuza,https://sketchfab.com/3d-models/ca230718-c04118-f6ddbe721cd24d67ae6cfb11bba18d98
CA230724,C13744,Museo del Oro,Nariño (Colombia) ,Tuza,https://sketchfab.com/3d-models/ca230724-c13744-0b8b752a363c41b2bc3d48544a28f673
